,Trouessartia_kratochvili,Trouessartia_bifurcata,Trouessartia_trouessarti,Trouessartia_swidwiensis,Trouessartia_rubecula,Trouessartia_simillima,Trouessartia_rosterii,Trouessartia_jedlizckai,Trouessartia_reguli,Trouessartia_inexpectata,Trouessartia_minuscula
Erithacus_rubecula,0,0,0,0,1,0,0,0,0,0,0
Luscinia_luscinia,0,0,0,1,0,0,0,0,0,0,0
Muscicapa_infuscata,0,0,0,0,0,1,0,0,0,0,0
Sturnus_vulgaris,0,0,0,0,0,0,1,0,0,0,0
Regulus_regulus,0,0,0,0,0,0,0,0,1,0,0
Sylvia_atricapilla,0,1,0,0,0,0,0,0,0,0,0
Locustella_luscinioides,1,0,0,0,0,0,0,0,0,0,0
Acrocephalus_arundinaceus,0,0,1,0,0,0,0,0,0,0,0
Motacilla_alba,0,0,0,0,0,0,0,1,0,0,0
Sylvia_undata,0,0,0,0,0,0,0,0,0,1,0
Estrilda_astrild,0,0,0,0,0,0,0,0,0,0,1
