,Amalaraeus_arvicolae,Amalaraeus_dissimilis,Amalaraeus_ioffi,Amalaraeus_penicilliger,Amphalius_runatus,Amphipsylla_anceps,Amphipsylla_argoi,Amphipsylla_asiatica,Amphipsylla_dumalis,Amphipsylla_georgica,Amphipsylla_kalabukhovi,Amphipsylla_kuznetzovi,Amphipsylla_longispina,Amphipsylla_marikovskii,Amphipsylla_montana,Amphipsylla_parthiana,Amphipsylla_phaiomydis,Amphipsylla_prima,Amphipsylla_primaris,Amphipsylla_rossica,Amphipsylla_schelkovnikovi,Amphipsylla_sibirica,Amphipsylla_vinogradovi,Atyphloceras_nuperus,Callopsylla_caspia,Callopsylla_lagomys,Callopsylla_saxatilis,Catallagia_dacenkoi,Catallagia_fetisovi,Catallagia_ioffi,Catallagia_striata,Ceratophyllus_anisus,Ceratophyllus_indages,Ceratophyllus_paradoxus,Ceratophyllus_sciurorum,Ceratophyllus_sinicus,Citellophilus_lebedewi,Citellophilus_tesquorum,Citellophilus_transcaucasicus,Citellophilus_trispinus,Citellophilus_ullus,Coptopsylla_bairamalensis,Coptopsylla_lamellifer,Coptopsylla_olgae,Corrodopsylla_birulai,Ctenophthalmus_acuminatus,Ctenophthalmus_agyrtes,Ctenophthalmus_arvalis,Ctenophthalmus_assimilis,Ctenophthalmus_bisoctodentatus,Ctenophthalmus_bogatschevi,Ctenophthalmus_breviatus,Ctenophthalmus_chionomydis,Ctenophthalmus_congener,Ctenophthalmus_congeneroides,Ctenophthalmus_dilatatus,Ctenophthalmus_dolichus,Ctenophthalmus_dux,Ctenophthalmus_euxinicus,Ctenophthalmus_golovi,Ctenophthalmus_hypanis,Ctenophthalmus_inornatus,Ctenophthalmus_nobilis,Ctenophthalmus_obtusus,Ctenophthalmus_orientalis,Ctenophthalmus_pisticus,Ctenophthalmus_proximus,Ctenophthalmus_secundus,Ctenophthalmus_shovi,Ctenophthalmus_solutus,Ctenophthalmus_teres,Ctenophthalmus_uncinatus,Ctenophthalmus_wagneri,Ctenophthalmus_wladimiri,Ctenophyllus_armatus,Ctenophyllus_hirticrus,Ctenophyllus_subarmatus,Desertopsylla_rothschildi,Doratopsylla_dasycnema,Echidnophaga_oschanini,Frontopsylla_ambigua,Frontopsylla_elata,Frontopsylla_elatoides,Frontopsylla_hetera,Frontopsylla_luculenta,Frontopsylla_macrophthalma,Frontopsylla_ornata,Frontopsylla_protera,Frontopsylla_semura,Frontopsylla_wagneri,Hystrichopsylla_microti,Hystrichopsylla_orientalis,Hystrichopsylla_satunini,Hystrichopsylla_talpae,Leptopsylla_nana,Leptopsylla_segnis,Leptopsylla_sicistae,Leptopsylla_taschenbergi,Megabothris_advenarius,Megabothris_asio,Megabothris_beljaevi,Megabothris_bispinosa,Megabothris_calcarifer,Megabothris_rectangulatus,Megabothris_turbidus,Megabothris_walkeri,Mesopsylla_apscheronica,Mesopsylla_eucta,Mesopsylla_hebes,Mesopsylla_lenis,Mesopsylla_tuschkan,Myoxopsylla_jordani,Neopsylla_abagaitui,Neopsylla_acanthina,Neopsylla_bidentatiformis,Neopsylla_democratica,Neopsylla_galea,Neopsylla_mana,Neopsylla_meridiana,Neopsylla_pleskei,Neopsylla_setosa,Neopsylla_teratura,Nosopsyllus_aralis,Nosopsyllus_consimilis,Nosopsyllus_fasciatus,Nosopsyllus_fidus,Nosopsyllus_iranus,Nosopsyllus_laeviceps,Nosopsyllus_mokrzeckyi,Nosopsyllus_philippovi,Nosopsyllus_simla,Nosopsyllus_tersus,Nosopsyllus_turkmenicus,Ophthalmopsylla_karakum,Ophthalmopsylla_kiritschenkovi,Ophthalmopsylla_kukuschkini,Ophthalmopsylla_praefecta,Ophthalmopsylla_volgensis,Oropsylla_alaskensis,Oropsylla_ilovaiskii,Oropsylla_silantiewi,Palaeopsylla_caucasica,Palaeopsylla_kohauti,Palaeopsylla_soricis,Paradoxopsyllus_dashidorzhii,Paradoxopsyllus_hesperius,Paradoxopsyllus_integer,Paradoxopsyllus_kalabukhovi,Paradoxopsyllus_microphthalmus,Paradoxopsyllus_naryni,Paradoxopsyllus_repandus,Paradoxopsyllus_scorodumovi,Paradoxopsyllus_teretifrons,Paramonopsyllus_scalonae,Paraneopsylla_ioffi,Paraneopsylla_tiflovi,Pectinoctenus_lauta,Pectinoctenus_nemorosa,Pectinoctenus_pamirensis,Pectinoctenus_pavlovskii,Pectinoctenus_pectiniceps,Peromyscopsylla_bidentata,Peromyscopsylla_fallax,Peromyscopsylla_ostsibirica,Peromyscopsylla_silvatica,Peromyscopsylla_tikhomirovae,Phaenopsylla_kopetdag,Phaenopsylla_tiflovi,Rhadinopsylla_altaica,Rhadinopsylla_altifrons,Rhadinopsylla_angusta,Rhadinopsylla_bivirgis,Rhadinopsylla_cedestis,Rhadinopsylla_dahurica,Rhadinopsylla_insolita,Rhadinopsylla_integella,Rhadinopsylla_ioffi,Rhadinopsylla_isacantha,Rhadinopsylla_li,Rhadinopsylla_pentacantha,Rhadinopsylla_pseudodahurica,Rhadinopsylla_rothschildi,Rhadinopsylla_socia,Rhadinopsylla_ucrainica,Rostropsylla_daca,Stenoponia_conspecta,Stenoponia_ivanovi,Stenoponia_montana,Stenoponia_sidimi,Stenoponia_suknevi,Stenoponia_tripectinata,Stenoponia_vlasovi,Synosternus_longispinus,Tarsopsylla_octodecimdentata,Wagnerina_longicauda,Wagnerina_schelkovnikovi,Wagnerina_tuvensis,Xenopsylla_cheopis,Xenopsylla_conformis,Xenopsylla_gerbilli,Xenopsylla_hirtipes,Xenopsylla_magdalinae,Xenopsylla_nubica,Xenopsylla_nuttalli,Xenopsylla_persica,Xenopsylla_skrjabini
Apodemus_agrarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,66,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apodemus_sylvaticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,58,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arvicola_terrestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,10,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chionomys_gud,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cricetulus_migratorius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cricetus_cricetus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesocricetus_raddei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microtus_arvalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microtus_majori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microtus_socialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
