,Diplorchis_ranae,Parapolystoma_bulliense,Polystoma_indicum,Polystoma_sp._RV,Polystoma_marmorati,Polystoma_testimagna,Polystoma_dawiekoki,Polystoma_gallieni,Polystoma_integerrimum,Polystoma_cuvieri,Polystoma_nearcticum,Polystoma_naevius,Polystoma_lopezromani
Hyla_meridionalis,0,0,0,0,0,0,0,1,0,0,0,0,0
Hyla_versicolor,0,0,0,0,0,0,0,0,0,0,1,0,0
Hyperolius_marmoratus,0,0,0,0,1,0,0,0,0,0,0,0,0
Leptodactylus_mystaceus,0,0,0,1,0,0,0,0,0,0,0,0,0
Litoria_gracilenta,0,1,0,0,0,0,0,0,0,0,0,0,0
Neoceratodus_forsteri,0,0,0,0,0,0,0,0,0,0,0,0,0
Pagellus_erythrinus,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus_cuvieri,0,0,0,0,0,0,0,0,0,1,0,0,0
Ptychadena_anchietae,0,0,0,0,0,0,1,0,0,0,0,0,0
Rana_temporaria,0,0,0,0,0,0,0,0,1,0,0,0,0
Rhacophorus_arboreus,0,0,0,1,0,0,0,0,0,0,0,0,0
Rhacophorus_maximus,0,0,1,0,0,0,0,0,0,0,0,0,0
Rhacophorus_omeimontis,0,0,0,1,0,0,0,0,0,0,0,0,0
Rugosa_rugosa,1,0,0,0,0,0,0,0,0,0,0,0,0
Scaphiopus_couchii,0,0,0,0,0,0,0,0,0,0,0,0,0
Smilisca_baudinii,0,0,0,0,0,0,0,0,0,0,0,1,0
Spea_bombifrons,0,0,0,0,0,0,0,0,0,0,0,0,0
Strongylopus_fasciatus,0,0,0,0,0,1,0,0,0,0,0,0,0
Trachurus_trachurus,0,0,0,0,0,0,0,0,0,0,0,0,0
Trachycephalus_venulosus,0,0,0,0,0,0,0,0,0,0,0,0,1
Xenopus_laevis,0,0,0,0,0,0,0,0,0,0,0,0,0
