,Rhabdias_fuscovenosa,Rhabdias_bakeri,Rhabdias_sp,Rhabdias_hylae,Rhabdias_ranae,Rhabdias_africanus,Rhabdias_sphaerocephala,Rhabdias_stenocephala,Rhabdias_picardiae,Rhabdias_breviensis,Rhabdias_pseudosphaerocephala,Rhabdias_bermani,Rhabdias_kongmongthaensis,Rhabdias_ambystomae,Rhabdias_americanus,Rhabdias_sylvestris,Rhabdias_rubrovenosa,Rhabdias_elegans,Rhabdias_bufonis
Salamandrella_keyserlingii,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ambystoma_maculatum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hylarana_galamensis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rana_clamitans,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rana_sphenocephala,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rana_blairi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rana_pipiens,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rana_sylvatica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rana_amurensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Polypedates_leucomystax,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Leptodactylus_fuscus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Leptodactylus_vastus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Leptodactylus_podicipinus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bufo_bufo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Anaxyrus_americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anaxyrus_terrestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anaxyrus_woodhousii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rhinella_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rhinella_schneideri,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Rhinella_marina,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rhinella_granulosa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bufotes_viridis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hypsiboas_raniceps,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scinax_fuscovarius,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cyclorana_alboguttata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bombina_bombina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leptodactylus_macrosternum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Amietophrynus_gutturalis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Leptodactylus_petersii,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rhinella_jimi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Breviceps_sylvestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
